review_id,trace_name,filename,event,region,Subset,primary_long_mixed,source_duration_s,reference_s,reference_grid_s,fixed_end_s,shift_s,shifted_start_s,energy_change_pct,fas_smoothed_l2_pct,psa_l2_pct
7,acNIG0242401011610,acNIG0242401011610.dat.correct.padremoved.v,2024-01-01 16:10:00,Niigata Basin,training,True,299.91,60.285,60.28,299.91,10,70.28,-7.704872491403036,15.049499852398677,8.331042649225573
8,acNIGH172401011610,acNIGH172401011610.dat.correct.padremoved.v,2024-01-01 16:10:00,Niigata Basin,training,False,299.91,159.677998,159.68,299.91,-10,149.68,9.273721943312307,14.605880911171939,24.45176977740829
8,acNIGH172401011610,acNIGH172401011610.dat.correct.padremoved.v,2024-01-01 16:10:00,Niigata Basin,training,False,299.91,159.677998,159.68,299.91,-5,154.68,6.7654479806748435,11.445238452690397,17.86047995071386
8,acNIGH172401011610,acNIGH172401011610.dat.correct.padremoved.v,2024-01-01 16:10:00,Niigata Basin,training,False,299.91,159.677998,159.68,299.91,0,159.68,0.0,0.0,0.0
8,acNIGH172401011610,acNIGH172401011610.dat.correct.padremoved.v,2024-01-01 16:10:00,Niigata Basin,training,False,299.91,159.677998,159.68,299.91,5,164.68,-1.1646484398615153,3.912081758453704,6.783183918445407
8,acNIGH172401011610,acNIGH172401011610.dat.correct.padremoved.v,2024-01-01 16:10:00,Niigata Basin,training,False,299.91,159.677998,159.68,299.91,10,169.68,-9.94788174627118,19.746102758948147,13.830337636063572
9,acNIG0100410231756,acNIG0100410231756.dat.correct.padremoved.v,2004-10-23 17:56:00,Niigata Basin,training,True,175.91,35.46199951,35.46,175.91,-10,25.46,1.7042438983893016,4.310259185301972,3.0468901407468554
9,acNIG0100410231756,acNIG0100410231756.dat.correct.padremoved.v,2004-10-23 17:56:00,Niigata Basin,training,True,175.91,35.46199951,35.46,175.91,-5,30.46,0.9679518546001686,2.947546848694307,2.457924661192952
9,acNIG0100410231756,acNIG0100410231756.dat.correct.padremoved.v,2004-10-23 17:56:00,Niigata Basin,training,True,175.91,35.46199951,35.46,175.91,0,35.46,0.0,0.0,0.0
9,acNIG0100410231756,acNIG0100410231756.dat.correct.padremoved.v,2004-10-23 17:56:00,Niigata Basin,training,True,175.91,35.46199951,35.46,175.91,5,40.46,-1.3159348807873394,3.893920086302875,1.9043813953801307
9,acNIG0100410231756,acNIG0100410231756.dat.correct.padremoved.v,2004-10-23 17:56:00,Niigata Basin,training,True,175.91,35.46199951,35.46,175.91,10,45.46,-3.1921886757826146,7.866617294300031,2.721626192478736
10,acNIG0130410231834,acNIG0130410231834.dat.correct.padremoved.v,2004-10-23 18:34:00,Niigata Basin,training,True,168.95000000000002,38.77300049,38.77,168.95000000000002,-10,28.77,3.634562823603482,4.783827446546027,2.5062808105160395
10,acNIG0130410231834,acNIG0130410231834.dat.correct.padremoved.v,2004-10-23 18:34:00,Niigata Basin,training,True,168.95000000000002,38.77300049,38.77,168.95000000000002,-5,33.77,1.2136725244861646,2.1208032866771833,1.1740794884436674
10,acNIG0130410231834,acNIG0130410231834.dat.correct.padremoved.v,2004-10-23 18:34:00,Niigata Basin,training,True,168.95000000000002,38.77300049,38.77,168.95000000000002,0,38.77,0.0,0.0,0.0
